index,name,category,rating,price_fortwo,link
64,The Noodle Story,Asian,3.8,400,https://swiggy.com/kolkata/the-noodle-story-shibpur-howrah
65,Sanjha Tandoor,Indian,4.0,400,https://swiggy.com/kolkata/sanjha-tandoor-shibpur-sanitytestarea
66,Noodles & Live Pasta (NON-VEG),Chinese,4.0,400,https://swiggy.com/kolkata/noodles-live-pasta-shibpur-sanitytestarea
67,Taste Bud,"Indian, Italian, Fast Food",3.9,160,https://swiggy.com/kolkata/taste-bud-chintamoni-dey-road-howrah
68,Dil se Dilli,"North Indian, Tandoor, Indian",4.3,400,https://swiggy.com/kolkata/dilli-se-dilli-shibpur-howrah
69,Barista,"Beverages, Desserts",4.1,500,https://swiggy.com/kolkata/barista-jagat-banerjee-ghat-road-howrah
70,Kolkata Lunchbox.com,"Indian, Continental, Italian, Beverages",3.6,350,https://swiggy.com/kolkata/kolkata-lunchboxcom-howrah-howrah
71,Shri Kanishka Pav Bhaji,Street Food,3.8,250,https://swiggy.com/kolkata/kanishka-pav-bhaji-howrah-howrah
72,Junk Yard,Fast Food,4.1,200,https://swiggy.com/kolkata/junk-yard-dobson-road-howrah
73,The Park Terrace Restaurant,"North Indian, Chinese, Tandoor, Continental, Mughlai",4.2,400,https://swiggy.com/kolkata/the-park-terrace-restaurant-howrah-station-area-howrah
74,National Hotel & Restaurant,Mughlai,3.9,250,https://swiggy.com/kolkata/national-hotel-restaurant-salkia-howrah
75,Green Chilly,"Indian, Chinese",3.8,300,https://swiggy.com/kolkata/green-chilly-liluah-sanitytestarea
76,Chicago Pizza,Fast Food,2.7,450,https://swiggy.com/kolkata/chicago-pizza-howrah-station-area-howrah
77,Chennai Junction,South Indian,3.9,500,https://swiggy.com/kolkata/chennai-junction-forum-rangoli-mall-sanitytestarea
78,Food Junction,"Fast Food, Chinese",3.8,200,https://swiggy.com/kolkata/food-junction-howrah-howrah
79,Indian Chopsticks,"Indian, Oriental, Chinese, Biryani, Fast Food",4.3,600,https://swiggy.com/kolkata/indian-chopsticks-howrah-howrah
80,Ali Shaan,"Indian, Tandoor, Mughlai",3.6,500,https://swiggy.com/kolkata/ali-shaan-shibpur-howrah
81,Mimosa,"Chinese, Snacks",3.9,300,https://swiggy.com/kolkata/mimosa-nabanna-howrah
82,Noodles and Live Pasta (VEG),"Chinese, Pastas",3.8,400,https://swiggy.com/kolkata/noodles-and-live-pasta-veg-avani-mall-howrah
83,Mio Amore,Bakery,4.3,150,https://swiggy.com/kolkata/mio-amore-shibpur-howrah
84,Nukkad Bites,Fast Food,4.1,150,https://swiggy.com/kolkata/nukkad-bites-liluah-howrah
85,KFC,Fast Food,4.3,450,https://swiggy.com/kolkata/kfc-jagat-banerjee-howrah
86,Noodles and Live Pasta,"Chinese, Italian",4.1,400,https://swiggy.com/kolkata/noodles-and-live-pasta-forum-rangoli-mall-sanitytestarea
87,Diamond Hotel and Restaurant,"Indian, Chinese",4.3,600,https://swiggy.com/kolkata/diamond-hotel-and-restaurant-howrah-station-area-howrah
88,Chaat Chator,Fast Food,4.0,400,https://swiggy.com/kolkata/chaat-chator-shibpur-howrah
89,Subway,Fast Food,4.2,400,https://swiggy.com/kolkata/subway-shibpur-howrah
90,Parashuram Restaurant,"Indian, Chinese",4.1,200,https://swiggy.com/kolkata/parashuram-restaurant-howrah-station-area-howrah
91,Fire Pit,"Indian, Chinese",3.4,300,https://swiggy.com/kolkata/fire-pit-salkia-howrah
92,Chunky's,"Continental, Italian, Mexican, Fast Food",3.8,350,https://swiggy.com/kolkata/chunkys-shibpur-howrah
93,Veggie Corner,"Chinese, Fast Food, Continental, Italian, American",3.7,200,https://swiggy.com/kolkata/veggie-corner-liluah-howrah
94,Shri Ram Bhojnalaya,"Indian, Chinese",3.8,200,https://swiggy.com/kolkata/shri-ram-bhojnalaya-howrah-station-area-howrah
95,Food.Com,"Indian, South Indian, Chinese",3.9,200,https://swiggy.com/kolkata/foodcom-shibpur-sanitytestarea
96,Raasta Cafe - Shibpur,"Italian, Continental",4.1,250,https://swiggy.com/kolkata/raasta-cafe-shibpur-howrah
